route_id,scheduled_time,actual_time,weather,passenger_count,latitude,longitude,valid_gps,delay_minutes,hour,day_of_week,is_weekend,time_of_day,weather_severity,route_frequency
R3,2025-01-01 00:00:00,2025-01-01 01:22:00,sunny,250.0,24.417358065000002,32.529663575,False,82.0,0,2,0,night,1,137
R4,2025-01-01 01:00:00,2025-01-01 02:24:00,sunny,250.0,24.64387847,32.63629561,True,84.0,1,2,0,night,1,48
R3,2025-01-01 02:00:00,2025-01-01 03:45:00,sunny,250.0,24.363132,31.18681932,True,105.0,2,2,0,night,1,137
R4,2025-01-01 03:00:00,2025-01-01 05:29:00,cloudy,36.0,25.53307125,32.53750795,True,149.0,3,2,0,night,2,48
R4,2025-01-01 04:00:00,2025-01-01 04:56:00,cloudy,76.0,23.29424774,33.41921085,True,56.0,4,2,0,night,2,48
R2,2025-01-01 05:00:00,2025-01-01 05:43:00,sunny,107.0,24.46472341,32.37771963,True,43.0,5,2,0,night,1,46
R3,2025-01-01 06:00:00,2025-01-01 08:43:00,cloudy,61.0,23.45014599,31.15586973,True,163.0,6,2,0,morning,2,137
R3,2025-01-01 07:00:00,2025-01-01 08:15:00,cloudy,250.0,23.97402778,33.3588346,True,75.0,7,2,0,morning,2,137
R3,2025-01-01 08:00:00,2025-01-01 10:24:00,sunny,76.0,25.21207123,31.60409135,True,144.0,8,2,0,morning,1,137
R4,2025-01-01 09:00:00,2025-01-01 09:06:00,unknown,76.0,24.42805439,31.7758625,True,6.0,9,2,0,morning,2,48
R3,2025-01-01 10:00:00,2025-01-01 12:45:00,cloudy,91.0,24.12766486,31.49411906,True,165.0,10,2,0,morning,2,137
R3,2025-01-01 11:00:00,2025-01-01 11:15:00,sunny,47.0,24.18342884,31.99064519,True,15.0,11,2,0,morning,1,137
R4,2025-01-01 12:00:00,2025-01-01 14:21:00,cloudy,44.0,24.37834031,33.27025452,True,141.0,12,2,0,afternoon,2,48
R2,2025-01-01 13:00:00,2025-01-01 13:00:00,cloudy,107.0,25.35504963,32.55815758,True,0.0,13,2,0,afternoon,2,46
R3,2025-01-01 14:00:00,2025-01-01 14:00:00,cloudy,250.0,25.67625407,31.61464382,True,0.0,14,2,0,afternoon,2,137
R2,2025-01-01 15:00:00,2025-01-01 15:09:00,cloudy,250.0,25.86600406,33.63349023,True,9.0,15,2,0,afternoon,2,46
R3,2025-01-01 16:00:00,2025-01-01 16:00:00,unknown,250.0,25.36071016,33.63874556,True,0.0,16,2,0,afternoon,2,137
R4,2025-01-01 17:00:00,2025-01-01 19:11:00,rainy,76.0,23.94622069,33.61173528,True,131.0,17,2,0,afternoon,3,48
R1,2025-01-01 18:00:00,2025-01-01 19:21:00,sunny,250.0,25.06440412,31.71638863,True,81.0,18,2,0,evening,1,69
R3,2025-01-01 19:00:00,2025-01-01 19:00:00,sunny,250.0,24.31280937,32.35371803,True,0.0,19,2,0,evening,1,137
R2,2025-01-01 20:00:00,2025-01-01 21:15:00,sunny,107.0,23.76401187,33.95496897,True,75.0,20,2,0,evening,1,46
R4,2025-01-01 21:00:00,2025-01-01 21:52:00,cloudy,250.0,25.52261474,33.31603743,True,52.0,21,2,0,evening,2,48
R3,2025-01-01 22:00:00,2025-01-01 22:47:00,sunny,104.0,23.11527905,31.08150226,True,47.0,22,2,0,night,1,137
R1,2025-01-01 23:00:00,2025-01-01 23:00:00,sunny,97.0,25.70528598,31.19561377,True,0.0,23,2,0,night,1,69
R1,2025-01-02 00:00:00,2025-01-02 00:00:00,cloudy,117.0,24.38443239,32.39179413,True,0.0,0,3,0,night,2,69
R3,2025-01-02 01:00:00,2025-01-02 01:43:00,cloudy,73.0,24.91160443,33.72766062,True,43.0,1,3,0,night,2,137
